Name,Ticker,"Sub-Sector","Market Cap","Close Price","Interest Coverage Ratio","Quick Ratio","Asset Turnover Ratio","Cash Conversion Cycle","Days of Inventory Outstanding","Days Payable Outstanding","Days of Sales Outstanding","Debt to Equity","Earning Power","Inventory Turnover Ratio","Long Term Debt to Equity","Net Income / Liabilities","Current Ratio","Working Capital Turnover Ratio"
Spectra Industries Ltd,SPECTRA,"Auto Parts","3.836547","5.69","-0.5","0.02847782258064516","0","-11643.0870379288",,,,,,"0",,,"0.03654233870967742","0"
Multipurpose Trading and Agencies Ltd,ZMULTIPU,"Specialized Finance","3.8115","7.32",,"2.333333333333333","0.07367280606717226",,,,"0","1.7543859649122806","4.07725321888412",,"1.7543859649122806","190.0000000000013","2.333333333333333","13.600000000000003"
Mahaveer Infoway Ltd,MINFY,"IT Services & Consulting","3.806719","7","4.416666666666669","1.188888888888889","0.5131337813072694",,,,"133.39880952380955","40.993788819875775","6.29453681710214","0","0",,"1.6805555555555558","1.7987152034261242"
NCC Blue Water Products Ltd,NCCBLUE,"Packaged Foods & Meats","3.7975","4.9",,"131","0.08525033829499323",,,,"0","0","5.9523809523809526",,"0","412.5000000000057","131","0.09984152139461172"
Inertia Steel Ltd,INERTIAST,,"3.796688","152.6",,"5","2.682926829268293",,,,"43.13636363636363","0","100.00000000000003",,"0","1300.0000000000005","5","8.461538461538462"
Richfield Financial Services Ltd,RFSL,"Investment Banking & Brokerage","3.7726006","10.06",,"268","0.05506883604505632",,,,"0","0","1.9900497512437811",,"0","140.00000000000244","268","0.1082410824108241"
Fundviser Capital (India) Ltd,FUNDVISER,,"3.7638","10.2",,"150.5","0.03472770323599053",,,,"0","0",,,"0",,"150.5","0.048834628190899"
Explicit Finance Ltd,EXPLICITFIN,"Investment Banking & Brokerage","3.7626456","3.86",,"25.333333333333336","2.775485436893204","16.003805382",,,"0","0","0.2528445006321508",,"0","100.00000000001457","75","10.14190687361419"
Tci Finance Ltd,TCIFINANCE,"Diversified Financials","3.7330229700000004","2.9",,"0.2253706360593018","0","-127.4421568638",,,,,,,,,"0.2253706360593018","0"
Containerway International Ltd,CONTAINER,"Logistics","3.7327412","5.71",,"0.78125","0",,,,,"17.073170731707318",,,"17.073170731707318",,"0.78125","0"
Rama Petrochemicals Ltd,RAMAPETRO,,"3.6852288","3.69","-1.9777777777777779","0.6374133949191686","0.30976430976430974",,,,"41.65760869565217",,,,,,"0.6374133949191686","-0.36947791164658633"
