Name,Ticker,"Sub-Sector","Market Cap","% Away From 52W High","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Cost of Goods Sold","Return on Investment","5Y Avg EBITDA Margin","Cash Flow Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
Jubilant Industries Ltd,JUBLINDS,"Diversified Chemicals","782.208548415","15.32447224394058","11.36492078920988","8.345825902399008","1.978654746975307","8.239225466030675","1.9453732380262703","7.743466975105232",,"23.63130219610264","8.16913032403277","2.5703437695518394","4.1787150484849205","46.63217222581532","47.677522690870134","9.619562290166762"
Premier Explosives Ltd,PREMEXPLN,"Commodity Chemicals","779.053476745","0.5361084831283502","2.8364488710328226","2.503246154283121","-0.5195180898002689","0.5539109835324503","0.3267343038087744","13.746327130264444",,"4.676446496388399","6.438936065154037","-1.0695716761574647","3.3888344760039146","8.768558112718011","2.81368619435668","1.720499918844331"
Rushil Decor Ltd,RUSHIL,"Building Products - Laminates","778.46753306","106.67292674582191","7.299369726754937","11.029624092229426","5.555077288623968","10.587527239029786","3.9956997090742474","17.9537254248187",,"6.101272632040879","13.338931970610378","-1.067809073180089","9.250151827286041","19.88083289521897","8.273283357232307","2.6888000094385225"
Andhra Cements Ltd,ACL,"Cement","778.3937223","89.86202759448112",,"6495.229148292666","-10409.157443183885",,"5.369787550579318","91.93151896151343","1.05","109.67346104028907","-1370.698495246927","-0.09813542688910697","92.26770567145037","101.99947829834531",,"106.26077031533246"
Dolat Algotech Ltd,DOLATALGO,"Investment Banking & Brokerage","777.92","71.68338907469342","29.901133356593824","55.05452993300691","46.733468095240525","40.42594370381808","34.78796282921329","58.50084202228672",,"23.81846635367762","66.4202269476763","43.76629827393518","41.563653301802276","30.7523505041524","37.53811659192825","26.51315997846261"
Panacea Biotec Ltd,PANACEABIO,"Biotechnology","776.9657130100001","30.68362480127187",,"7.942461558492055","-2.390723018810932",,"9.089586263458338","9.175118433262249",,"143.0423764446515","25.28370738419509","-4.6175923284264675","-5.494326599052532","1.75965051952559","351.0356282159839","72.82917518285161"
Texmaco Infrastructure & Holdings Ltd,TEXINFRA,"Real Estate","775.39080015","15.63517915309447","-1.0602563805234115","-1.743187339944454","-36.21969407634938","-1.5840985571708632","-1.478128989339035","29.337539432176648",,"-12.056778346072065","-22.406281337343824","-11.209150326797387","12.263406940063085","0.688389822071143","-13.317380060982671","-12.487333159616666"
Peninsula Land Ltd,PENINLAND,"Real Estate","772.4342086","6.764168190127973",,"75.76348331809942","-49.912701678320786",,"-7.535409290986064","15.649513054681869",,,"-24.84044643749404","76.45122085957354","9.19227708514911","-157.46948265839978",,"-5.225139598431745"
Orient Bell Ltd,ORIENTBELL,"Building Products - Ceramics","771.9438446600001","52.71663415993313","6.992082939417235","6.92082875124347","2.4743274886025453","5.965614836014224","3.4966271761363785","7.376086445853882","469.75","7.804954531200987","7.310092747395087","4.746507482485595","3.1063024223078877","9.361405950930905","7.556048536183641","4.784403864981047"
SMC Global Securities Ltd,SMCGLOBAL,"Investment Banking & Brokerage","771.1155","29.435757987763434","6.940657141462944","7.199065527230621","9.95771493621462","12.544727348104042","4.001904866821101","15.125127995084977",,"6.377056408131604","15.200064207677276","-21.721073110792545","9.834118369854588","10.678280134244995","12.888576351797463","3.837081452881083"
Dharamsi Morarji Chemical Co Ltd,DMCC,"Diversified Chemicals","770.39453037","48.044328552803115","19.513521636202135","12.811265972891285","12.056254481402686","24.200559834870365","14.161003976294387","9.954054262173047",,"8.790328200125433","17.20760423629895","15.242508123721265","1.7762262891757934","8.405463352656225","11.547306620491879","6.592727609750075"
Integra Engineering India Ltd,INTEGRAEN,"Industrial Machinery","768.0621306","20.558966758416265","17.27007745097528","6.8882604294257215","11.349154931075125","21.9581495544939","13.453972616217612","16.451058102146106","75.1","23.586744639376203","16.049366636229543","6.887011141852989","13.602033949001711","26.460389437183235","27.856049004594162","17.032632613886406"
Dcm Shriram Industries Ltd,DCMSRIND,"Packaged Foods & Meats","767.2710717","9.623188405797102","9.550477395736376","5.662551834569685","3.7161033506892354","12.82845655624159","4.711611747159347","6.77088170481506","1665.5600000000002","7.636574055208283","8.070152302243702","7.11831207098893","2.539661097086317","13.509202187689908","8.664904687488763","3.2254605503013196"
Snowman Logistics Ltd,SNOWMAN,"Logistics","761.085817225","0.7049345417925457","2.322346276320151","23.414036228161645","0.34177969147201487","-0.3345780975907256","-0.23107165867290574","22.59619907799418",,"2.9276526395436764","25.839165823242855","23.727820844099913","3.149402577853055","6.550990440228961","0.3968442564516803","0.23954844401092468"
Shankar Lal Rampal Dye-Chem Ltd,SRD,"Commodities Trading","759.2856786","63.782186576614606","12.82096822595419","-6.402303838053417","4.20364692452542","15.871716192450549","11.054855705763433","6.936683851449396",,"29.224774405250244","6.57611370140408","-5.6077539313618825","4.914642052295258","29.17426413128422","42.787170169063096","31.757945350064535"
Wardwizard Foods and Beverages Ltd,WARDWIZFBL,,"758.34272","66.38888888888887","0.012385897831163256","33.105595726662756","-45.89145006839945","-0.11517958100100498","-0.10930367129693981","-90.375",,"-0.19288093985621596","-21.349601003191975","5.88235294117647","-111.75","-14.303242769500438","-0.3396162336559687","-0.32211306168465126"
Elin Electronics Ltd,ELIN,"Electronic Equipments","758.0479933","55.80286168521462","12.019105191843606","4.803094868249729","3.0372219874870736",,,"6.252203767282174",,"12.791815604585263","7.144447219252657","5.217145049604443","2.487705298320497","14.038168158659792","13.862752033958298","7.529371079453232"
Automobile Corp Of Goa Ltd,ACGL,"Trucks & Buses","757.5159061300001","0.6769521410579182","4.197148146780724","-4.274918779429587","0.8693508218661495","5.07701023360155","3.1195131031008345","8.096923285181106","370.56","10.485385829138183","3.2393572547468326","-0.8276768965984027","5.381833652414383","18.228605038721703","15.34897829743817","8.940934573434218"
Master Trust Ltd,MASTERTR,"Diversified Financials","756.358764","20.48920428808698","7.501343402458792","10.872489257903124","14.554303160929575","10.842647615518455","3.7198210896687285","25.735337459475396",,"13.91284611892873","18.880639022268877","-4.6292663789721455","19.419392867668734","22.67859055371104","19.866762693554193","6.084803432283539"
Heubach Colorants India Ltd,HEUBACHIND,"Specialty Chemicals","751.42793389","43.43008739076155","15.951977373308045","4.726427976133823","7.669087823870939","13.279143361452597","8.861288560783105","7.851368159203982",,"10.57792160745767","14.581575788943377","1.549199462378269","2.484970978441131","9.411434190195259","10.554520321044484","6.743653992809669"
GHCL Textiles Ltd,GHCLTEXTIL,"Textiles","750.8263490300001","9.275730622617528",,"0",,,,,"0",,,"0",,"100",,"-200"
