Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Average Volume","1D Change in Volume","1W Return vs Nifty","1W Return","1D Return","Close Price","Face value","Daily Volume","6M Return vs Nifty","5Y CAGR","1Y Return","% Away From 52W Low","% Away From 52W High","1M Return vs Nifty","1M Return"
Aveer Foods Ltd,AVEER,,"179.29749652","-22.748789891239223","171.55723416618247","2594.590909090909","-4.140885292717753","3.1154802717727867","4.319196428571433","4.998876656931026","467.35","10","22154","162.60286641282158",,,"233.2263814616756","41.018508612388985","-1.1206269594753993","3.1905497902406816"
Apollo Finvest (India) Ltd,APOLLOFI,"Diversified Financials","179.13529608","-39.809134718825426","-5.620953502060031","1126.909090909091","383.0388692579505","-2.384899394267833","-1.1811832374691864","0.19787544261611925","481.05","10","1367","-14.57532125542092","69.98010929747855","-17.060344827586203","23.34615384615384","64.2240931296123","-4.96173437053392","-0.6505576208178392"
Simplex Infrastructures Ltd,SIMPLEXINF,"Construction & Engineering","178.8570266","-56.72314886559819","-44.02173913043479","89641.31818181818","-7.488243508991935","-11.247384279069397","-10.04366812227075","-1.277955271565502","30.9","2","162298","-52.97610688379568","-41.8226891191195","-33.97435897435897","3.691275167785224","167.47572815533985","-14.615966299788662","-10.30478955007258"
Future Consumer Ltd,FCONSUMER,"FMCG - Foods","178.7883615","-74.03084117329051","-34.48275862068966","3670716.909090909","157.86713760774796","4.351839398756901","5.555555555555547","5.555555555555547","0.95","6","8178313","-43.43712637405055","-53.92487720026773","-51.282051282051285","137.49999999999994","157.89473684210532","-9.311176749716086","-5.000000000000004"
UMA Exports Ltd,UMAEXPORTS,"Agro Products","178.5159024","-25.80151884591082","2.2439024390243874","431766.36363636365","21.440094310355526","-8.130892000493139","-6.927175843694492","-0.7575757575757549","52.4","10","39145","-6.710465314336503",,"-3.052728954671598","48.44192634560906","44.083969465648856","-25.03734921567674","-20.726172465960662"
Paul Merchants Ltd,PML,"Consumer Finance","177.63326","47.88193430855307","34.34061849539103","2349.7272727272725","98.9795918367347","-4.1572913252866845","-2.953575168488038","4.583465956769585","1807.15","10","1560","25.386250742030136","-14.916857949261065","70.6307241997923","76.13547758284602","10.665965747170958","32.557835254676704","36.869012004392786"
Indianivesh Ltd,INDIANVSH,"Diversified Financials","176.93425","-70.78846317011903","-21.39452780229479","1808.3636363636363","1156.862745098039","-2.2481606012430886","-1.0444444444444418","-4.992532536803918","44.53","1","641","-30.34889555565568","-1.262234262166806","-48.03967327887981","33.80408653846154","147.02447788008084","-15.251176749716079","-10.939999999999998"
Atal Realtech Ltd,ATALREAL,"Construction & Engineering","176.80989","109.00796686551755","36.57565415244595","194809.86363636365","-14.160003573502479","-1.3700363231188153","-0.1663201663201687","0.5023022185014603","120.05","10","134519","27.621286399085058",,"131.75675675675677","140.09999999999997","4.956268221574356","-0.3717828103221441","3.939393939393937"
Competent Automobiles Company Ltd,COMPEAU,"Retail - Speciality","176.78969","49.561151629228604","29.459578207381362","10742.227272727272","168.63233665559247","2.6011103360672876","3.804826492865934","2.43351294976534","294.65","10","9703","20.50521045402047","3.938342322278321","72.30994152046783","84.15624999999997","5.209570677074504","3.029442558116333","7.340619307832414"
Akshar Spintex Ltd,AKSHAR,"Textiles","176.617935","-47.01429587600528","40.74823053589482","7981.045454545455","-11.098130841121495","1.0740208013203794","2.277736958119026","-1.4861995753715658","69.6","10","1522","31.793862782533928",,"-24.265505984766058","134.73861720067455","85.1293103448276","2.601265646597284","6.912442396313365"
Intense Technologies Ltd,INTENTECH,"IT Services & Consulting","176.0058675","-11.160514499282849","16.678545972915163","223724.5","484.9601379013144","8.367903655785009","9.571619812583656","9.133333333333326","81.85","2","624404","7.724178219554274","7.982844219140217","11.588275391956374","54.143126177024456","16.06597434331094","20.937484306137023","25.248661055853102"
Surat Textile Mills Ltd,SURATEX,"Textiles","175.87503648","-49.93060807305741","-13.685344827586203","166440.95454545456","-56.490301806195674","-4.929677695260191","-3.725961538461544","1.1363636363636347","8.01","1","119988","-22.63971258094709","16.704111994795202","-27.181818181818183","38.10344827586207","55.68039950062422","-8.383033037141228","-4.071856287425148"
Alphageo (India) Ltd,ALPHAGEO,"Oil & Gas - Equipment & Services","175.572097695","-21.505645467107605","2.3470707817408853","50449.27272727273","-5.082088175613356","-2.2047887345605384","-1.0010725777618918","0.3806416530723054","276.9","10","10291","-6.607296971620004","-15.880118698035162","1.2431444241316187","39.67213114754098","25.279884434814015","9.874390260593188","14.185567010309269"
Mahalaxmi Rubtech Ltd,MHLXMIRU,"Textiles","175.500044375","0.8575153759656899","-28.20455560518089","51468.90909090909","-36.093023255813954","-8.712346766695084","-7.508630609896438","-2.723146747352496","160.75","10","8931","-37.15892335854178",,"23.606305267204913","28.6","92.2239502332815","-36.49847900662391","-32.18730225690783"
J C T Ltd,JCTLTD,"Textiles","175.403188028","-55.86137267269618","-33.33333333333333","775964","6.751722709468797","-3.145463729614182","-1.9417475728155356","0","2.02","2.5","690626","-42.28770108669422","0.19920476665333808","-33.11258278145695","32.89473684210527","99.00990099009898","-11.223619146029442","-6.91244239631336"
Bhagyanagar India Ltd,BHAGYANGR,"Electrical Components & Equipments","174.6927","15.63504849259915","8.730158730158728","119924.09090909091","-31.063227903337445","-1.8383489763816048","-0.6346328195829581","0.3663003663003585","54.8","2","45814","-0.22420902320216207","2.179339528657631","38.38383838383837","39.263024142312574","13.138686131386867","-7.491388763850364","-3.180212014134283"
Ruchi Infrastructure Ltd,RUCHINFRA,"Agro Products","174.55657302","-21.50655386639451","-28.193832599118938","100853.77272727272","-12.747074277525675","-3.5989257376369617","-2.395209580838315","0.6172839506172928","8.15","1","91332","-37.148200352479826","27.173992246209266","1.242236024844716","10.88435374149661","55.82822085889569","-8.9895393228155","-4.678362573099419"
BSL Ltd,BSL,"Textiles","173.4230308","49.26126036001706","-7.135105805751494","8568.40909090909","8.296514482081493","-4.042206080159419","-2.838489923360772","1.5727002967359085","171.15","10","6618","-16.089473559112385","28.60528369784914","72.01005025125629","74.64285714285714","38.29973707274319","-17.674882140756324","-13.363705391040245"
