Name,Ticker,"Sub-Sector","Market Cap","Close Price","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Return on Investment","Cost of Goods Sold","Cash Flow Margin","5Y Avg EBITDA Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
MTAR Technologies Ltd,MTARTECH,"Industrial Machinery","6464.897038425","2137.85","11.368571138710848","10.376890017287598","17.94449775188337","11.89389071615064","8.803141774398455","29.23823812012205","10.965824182964068",,"-9.009553754988511","30.729927002404132","17.431687541088625","27.52360461601381","12.214996788696206","9.262895149384349"
VRL Logistics Ltd,VRLLOG,"Logistics","6442.05465675","733.1","14.527163535597555","12.944030849220464","5.9805010622910695","20.37832980815157","10.812334680886366","20.388803977403697","22.377857463021073","818","11.28893270400329","15.937559126658172","11.461277407595226","26.22480385478948","39.718090041598316","19.755440845229693"
Jindal Worldwide Ltd,JINDWORLD,"Textiles","6435.702238","319.75","11.19583645168756","5.754540386053982","3.0134254303940327","14.036103762383771","5.257355158095135","11.589285541667877","11.262984502638924","1613.07","14.797629749925084","8.862332693345646","5.593094181674062","21.939080018757725","19.519929828112616","7.924236302753488"
Garware Technical Fibres Ltd,GARFIBRES,"Textiles","6414.02869275","3095.8","17.613022893069605","10.719269375709214","13.530270811665224","20.34567107535883","12.154525160342585","19.306310697813945","16.697455625809404",,"5.255403559023491","20.780500709172514","12.913870036371822","23.097930194406516","18.496941123645964","12.054265408910856"
Anant Raj Ltd,ANANTRAJ,"Real Estate","6373.354427775","197.7","2.0733396809999993","44.268632013523565","10.202580197478621","2.0611014538482615","1.239475183745329","24.37951555440559","4.61586223084864","3.04","-0.6329239894114603","22.85590816393494","15.038910893059732","5.745952783946443","5.462793934245487","3.4569488400394843"
Maharashtra Scooters Ltd,MAHSCOOTER,"Two Wheelers","6351.65523736","5673.85","0.907700334738881","27.177408793834644","70.36429864022423","0.8642745109568521","0.8298798514504538","89.5986407053637","1.0255839343038133",,"95.87160176340926","76.92829557129784","89.68589272593681","0.9471250250159904","0.9323139143435994","0.8661285848376941"
India Infrastructure Trust,INFRATRUST,"Construction & Engineering","6347.84","101","4.108679523141401","15.958706542010665","-56.660293911093525",,,"74.62131752249265","8.619360647947085","348","57.075279864723136","29.14762833242699","19.481010580991324","16.607533627053368","7.82807142283742","3.55713048066338"
Fusion Micro Finance Ltd,FUSION,"Consumer Finance","6339.826731419999","620.15","0.4114262048559138","-167.70323916762482","9.615798284914975","1.5921554643293034","0.4639861188592363","28.85548092468208","0.30588605744360164",,"-136.57385441378452","13.315063009512395","21.508136246715228","7.197047970479706","1.6840084974325797","0.3314948268678379"
Prism Johnson Ltd,PRSMJOHNSN,"Cement","6314.6082961","122.05","8.048479314636463","12.259993592342303","1.023109062179853","3.9786264651931993","1.0094234725250861","5.520514742122592","2.9943212807597854","4066.29","7.992006103448043","9.21777069087258","-1.3939357112474697","0.5699606159340506","-6.737239187328159","-1.5887942524525003"
Rashtriya Chemicals and Fertilizers Ltd,RCF,"Fertilizers & Agro Chemicals","6300.278102","113.85","7.190673094163623","9.680920091403328","3.595462583945222","9.002339582353574","3.418215272514877","7.880374266136931","12.131088757344724",,"-4.527973191131722","8.054462219715735","4.455441664196069","27.32380072790464","19.42133335545366","7.706795276009587"
Inox Wind Ltd,INOXWIND,"Heavy Electrical Equipments","6277.76803296","191.55","-0.7277270423736242","16.901710726063108","-45.41974622603186","-14.6924520594021","-4.737455897649697","-32.24999334557747","-4.032828916199873",,"-59.75048501069148","-16.250358778405314","-88.75269504112433","-13.509437765794546","-26.83602959874673","-7.479232617433927"
HEG Ltd,HEG,"Electrical Components & Equipments","6275.24332054","1592.8","26.52087126397766","24.374763580328633","17.205874974489085","39.20173592801164","26.93598396165701","28.238458612471767","9.578425226775824",,"-6.056546721685719","27.5411399181251","20.663100940078724","15.54969720332766","11.636033803455668","9.025031144983831"
Maharashtra Seamless Ltd,MAHSEAMLES,"Building Products - Pipes","6275.18497116","473.75","6.106960011523258","7.616804625382377","7.328723846238544","6.357984371600468","4.248071619922265","18.94340285672944","9.781737699336013",,"-6.659476009881356","15.754160108896158","13.173443302946993","21.156087669835017","10.870270648896913","7.078105641950724"
Indinfravit Trust,INDINFR,"Roads","6266.1528877","101","3.130275757632861","52.484305053311076","-36.95501725512136",,,"60.78591817316841","7.119099279448427","20.52","39.01902949571836","46.247416399844","-19.05613701236917","4.136106140119964","-9.83810694544905","-2.7891693384949026"
Ge T&D India Ltd,GET&D,"Heavy Electrical Equipments","6246.255221325","255","8.36248220179738","3.153280102621203","-0.8638337685680364","2.3349944695186524","0.3845763079356104","4.422278823718001","0.6836625325371006",,"0.25641345967656304","3.7065380050145067","-0.053078745346708325","5.570272437844789","-4.5048275736846515","-1.2663946036583131"
Triveni Engineering and Industries Ltd,TRIVENI,"Sugar","6230.930659119999","284.95","12.236660643521734","7.443934210929037","11.05709867506831","21.188963628838145","7.420159586435938","29.71082732002957","13.721071584210607",,"-3.9656745809385066","16.792275876729885","25.184194029892698","83.64404148295348","24.45121001920108","10.69967362273712"
Network18 Media & Investments Ltd,NETWORK18,"Movies & TV Serials","6229.34368805","59.7","0.9411994158697852","8.237307062492155","-1.482527928769888","-3.089053286551369","-1.2506247614602848","5.004917034793876","4.413230695561942",,"10.767394264396515","10.795707670490598","-1.3154238796184987","3.9719130622792864","4.957197179599846","2.3859409515827688"
Sarda Energy & Minerals Ltd,SARDAEN,"Iron & Steel","6211.77702756","1776.95","11.258775824230359","16.400761970630338","13.092758076418457","15.641905297353748","8.051963735131038","26.039063288346952","20.291462603027252",,"23.136764253318333","25.491979405616693","14.129758828899229","20.826856972887626","29.63831132094596","16.384461085988068"
Himadri Speciality Chemical Ltd,HSCL,"Commodity Chemicals","6209.593596555001","140.05","9.152140853345957","9.176447093184711","6.816919053989961","9.773545868222158","5.85738048580392","9.456618275588667","9.040265143501882","3300.5","1.2848200275726758","12.44475335986046","5.142375488414962","14.248332668183497","10.426659263997704","6.056391151392966"
Go Fashion (India) Ltd,GOCOLORS,"Apparel & Accessories","6201.04149796","1148.4","9.830863612947415","12.165877013162152","8.498774987633102","11.739236263274623","7.888765781689298","33.107399695801774","8.811264003719801",,"7.675499767549978","30.760032588272132","12.22699685464936","22.156346424128856","9.867746139129967","5.445143128165121"
