Count: 0	Distance: 0.20ft	Time: 8.86sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.89sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.92sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.96sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.99sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.02sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.05sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.08sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.11sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.15sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.18sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.21sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.24sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.27sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.31sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.33sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.37sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.40sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.43sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.47sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.50sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.53sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.56sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.59sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.62sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.66sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.69sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.72sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.75sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.79sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.82sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 9.85sec	Speed: 0.20ft/sec 
